行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2184,82.01,80.52,79.7,99.13,0.58,10.53,-1.38,-3.85,13.04,-9.41,-2.78,5.26,-12.06,0,-1,0,-1,-2,平配
基础化工,801030,4.5009,26.07,74.57,45.23,72.42,2.79,31.58,0.15,5.62,34.78,1.25,1.24,-1.47,9.45,0,0,1,-1,0,平配
钢铁,801040,0.5752,30.24,77.07,20.38,40.43,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.93,-1.23,-10.15,0,0,0,-1,-1,平配
有色金属,801050,5.2754,17.62,30.59,36.34,56.97,5.71,42.11,1.44,12.64,78.26,4.6,-0.56,-6.73,27.85,0,0,1,-1,0,平配
电子,801080,20.4261,63.58,82.47,46.65,73.92,2.31,36.84,0.13,11.72,95.65,7.53,6.06,1.84,59.34,0,0,1,1,2,平配
汽车,801880,3.5488,25.6,25.43,35.67,40.35,2.86,26.32,-0.94,3.91,30.43,-0.87,1.53,-1.48,-16.39,0,0,0,-1,-1,平配
家用电器,801110,2.0897,14.96,68.86,25.85,35.15,1.88,5.26,-1.58,8.28,26.09,-0.55,-0.49,-0.56,-2.77,0,0,0,-1,-1,平配
食品饮料,801120,3.1577,20.5,15.81,33.13,67.69,3.27,31.58,0.3,11.6,26.09,-1.28,-0.51,-1.75,-22.65,0,0,1,-1,0,平配
纺织服饰,801130,0.5026,24.48,61.58,37.13,53.03,2.72,26.32,-0.04,3.03,34.78,-0.06,1.72,-0.18,-6.92,0,0,0,-1,-1,平配
轻工制造,801140,0.7846,34.17,93.97,41.93,61.23,1.85,26.32,-0.65,0.85,4.35,-1.8,1.75,2.41,-6.46,-1,0,0,1,0,平配
医药生物,801150,6.2735,32.45,63.15,33.09,65.8,2.51,26.32,-0.07,5.38,30.43,0.89,3.26,-3.95,-14.19,0,0,0,-1,-1,平配
公用事业,801160,2.4508,21.83,59.31,33.98,63.91,3.46,26.32,-0.38,4.41,39.13,-0.3,-1.01,1.94,2.36,0,0,0,-1,-1,平配
交通运输,801170,1.8778,16.86,76.37,23.08,60.36,3.4,31.58,0.15,3.98,43.48,0.24,-0.07,0.85,-5.52,0,0,1,-1,0,平配
房地产,801180,0.8492,16.59,58.22,34.69,56.03,-0.27,10.53,-0.6,-2.87,21.74,-0.33,3.26,1.56,-12.89,0,0,0,1,1,平配
商贸零售,801200,0.8153,33.54,50.16,48.83,79.35,2.09,47.37,0.54,6.64,82.61,3.38,-0.8,1.62,-23.59,0,0,1,-1,0,平配
社会服务,801210,0.4983,42.4,28.25,55.96,71.24,2.58,47.37,-0.14,2.67,73.91,-0.58,-1.12,2.5,-17.76,0,0,0,-1,-1,平配
银行,801780,5.3105,6.3,78.33,11.77,68.72,4.97,26.32,-0.19,5.41,26.09,-0.21,-1.82,2.3,-3.65,0,0,0,-1,-1,平配
非银金融,801790,4.8818,9.16,0.23,16.34,26.79,4.27,57.89,1.06,7.49,65.22,2.03,-0.85,-0.22,-14.04,1,0,1,-1,1,平配
综合,801230,0.2017,80.3,91.86,60.55,93.77,2.04,47.37,0.32,-2.69,13.04,-3.88,0.2,-1.95,10.23,-1,-1,1,-1,-2,平配
建筑材料,801710,0.9089,39.13,96.79,45.83,79.51,0.8,15.79,-0.89,4.17,43.48,1.23,2.32,2.93,21.59,-1,0,0,1,0,平配
建筑装饰,801720,1.293,14.88,96.24,26.22,35.22,1.38,26.32,-0.61,1.42,30.43,0.57,0.29,0.5,-3.59,-1,0,0,0,-1,平配
电力设备,801730,8.0133,28.63,35.6,34.55,45.31,2.58,31.58,0.08,5.53,39.13,0.15,0.04,-9.21,1.61,0,0,1,-1,0,平配
机械设备,801890,6.2876,43.88,94.44,33.85,45.07,2.34,26.32,-0.32,4.54,39.13,0.72,3.2,0.29,17.54,-1,0,0,1,0,平配
国防军工,801740,2.6736,60.5,52.97,41.8,69.35,0.67,15.79,-0.48,3.7,47.83,1.16,-0.8,5.41,1.19,0,0,0,-1,-1,平配
计算机,801750,4.6669,61.56,50.63,33.65,21.75,-0.5,5.26,-0.6,1.84,60.87,0.71,1.58,-1.29,-17.3,0,0,0,-1,-1,平配
传媒,801760,1.6792,34.8,45.07,49.46,59.5,1.31,31.58,0.02,5.28,69.57,2.16,-1.08,2.02,-15.7,0,0,1,-1,0,平配
通信,801770,6.2564,54.58,92.41,43.77,62.96,1.95,36.84,0.08,19.16,91.3,4.72,3.75,3.04,70.32,-1,0,1,1,1,平配
煤炭,801950,0.8918,18.08,82.71,45.49,81.87,3.59,31.58,0.8,5.03,21.74,1.2,-2.72,-1.75,25.66,0,0,1,-1,0,平配
石油石化,801960,1.1209,16.22,67.16,29.71,75.31,2.79,57.89,1.09,6.53,60.87,3.12,-3.72,-3.53,15.49,0,0,1,-1,0,平配
环保,801970,0.7893,25.52,77.93,28.59,46.23,1.64,26.32,-0.42,2.27,47.83,1.69,1.26,-0.81,-0.06,0,0,0,-1,-1,平配
美容护理,801980,0.1808,28.08,5.47,38.54,60.33,4.07,47.37,0.05,6.21,34.78,0.09,1.59,0.94,-30.91,1,0,1,1,3,平配
