行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
公用事业,801160,2.5204,22.05,60.64,30.54,54.98,3.46,26.32,-0.38,4.41,39.13,-0.3,0.94,0.73,3.32,高配,0,0,0,1,1,平配
交通运输,801170,1.9118,16.87,76.67,24.21,65.35,3.4,31.58,0.15,3.98,43.48,0.24,-0.75,2.65,-8.85,平配,0,0,1,-1,0,平配
房地产,801180,0.8358,16.82,58.52,48.43,81.88,-0.27,10.53,-0.6,-2.87,21.74,-0.33,-3.22,-3.43,-18.07,低配,0,0,0,-1,-1,平配
商贸零售,801200,0.8363,33.79,51.45,54.36,83.07,2.09,47.37,0.54,6.64,82.61,3.38,-2.71,1.48,-23.65,平配,0,0,1,-1,0,平配
社会服务,801210,0.5127,42.88,29.38,57.91,74.92,2.58,47.37,-0.14,2.67,73.91,-0.58,-0.77,2.92,-18.42,低配,0,0,0,-1,-1,平配
银行,801780,5.5027,6.41,83.5,14.05,84.1,4.97,26.32,-0.19,5.41,26.09,-0.21,0.13,6.69,-2.12,平配,0,0,0,0,0,平配
非银金融,801790,5.0072,9.24,0.0,22.06,60.6,4.27,57.89,1.06,7.49,65.22,2.03,-4.62,-0.06,-17.74,高配,1,0,1,-1,1,平配
综合,801230,0.2053,80.32,91.91,51.88,88.05,2.04,47.37,0.32,-2.69,13.04,-3.88,2.09,-6.03,15.83,低配,-1,0,1,-1,-1,平配
建筑材料,801710,0.9036,38.24,96.07,41.4,74.29,0.8,15.79,-0.89,4.17,43.48,1.23,3.05,-3.14,13.84,低配,-1,0,0,-1,-2,平配
建筑装饰,801720,1.3128,14.84,96.15,29.31,46.91,1.38,26.32,-0.61,1.42,30.43,0.57,-0.63,-0.81,-6.75,低配,-1,0,0,-1,-2,平配
电力设备,801730,8.1428,28.61,35.43,35.6,47.07,2.58,31.58,0.08,5.53,39.13,0.15,-2.72,-10.8,4.93,平配,0,0,1,-1,0,平配
机械设备,801890,6.1882,42.47,91.12,40.38,55.7,2.34,26.32,-0.32,4.54,39.13,0.72,-1.43,-4.74,9.03,低配,-1,0,0,-1,-2,平配
国防军工,801740,2.7404,60.94,54.05,42.81,71.6,0.67,15.79,-0.48,3.7,47.83,1.16,2.01,2.18,-9.08,高配,0,0,0,1,1,平配
计算机,801750,4.6743,60.6,48.55,40.41,36.87,-0.5,5.26,-0.6,1.84,60.87,0.71,-4.61,-7.63,-27.11,低配,0,0,0,-1,-1,平配
传媒,801760,1.727,35.18,46.74,65.4,81.49,1.31,31.58,0.02,5.28,69.57,2.16,-2.95,-2.58,-17.31,平配,0,0,1,-1,0,平配
通信,801770,6.1313,52.59,90.49,41.91,59.49,1.95,36.84,0.08,19.16,91.3,4.72,6.87,-2.06,50.22,低配,-1,0,1,-1,-1,平配
煤炭,801950,0.9338,18.56,84.9,55.59,92.44,3.59,31.58,0.8,5.03,21.74,1.2,-1.01,2.95,27.66,低配,0,-1,1,-1,-1,平配
石油石化,801960,1.1843,16.85,75.48,32.54,83.64,2.79,57.89,1.09,6.53,60.87,3.12,-1.59,5.64,18.25,平配,0,0,1,-1,0,平配
环保,801970,0.7925,25.19,76.27,32.35,56.46,1.64,26.32,-0.42,2.27,47.83,1.69,-2.31,-3.43,-3.56,低配,0,0,0,-1,-1,平配
美容护理,801980,0.1811,27.64,3.84,43.21,71.5,4.07,47.37,0.05,6.21,34.78,0.09,-4.61,-3.01,-32.71,高配,1,0,1,-1,1,平配
