行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2717,84.15,80.75,82.72,99.68,0.58,10.53,-1.38,-3.85,13.04,-9.41,-1.59,9.66,-11.14,低配,0,-1,0,-1,-2,平配
基础化工,801030,4.5216,25.75,74.0,52.56,87.66,2.79,31.58,0.15,5.62,34.78,1.25,-2.57,-2.78,4.45,平配,0,0,1,-1,0,平配
钢铁,801040,0.5907,30.52,77.77,22.29,45.73,0.41,15.79,-0.91,0.86,21.74,-1.01,-1.81,-0.65,-12.89,低配,0,0,0,-1,-1,平配
有色金属,801050,5.4014,17.72,30.56,43.31,69.86,5.71,42.11,1.44,12.64,78.26,4.6,-2.89,-3.86,28.83,平配,0,0,1,-1,0,平配
电子,801080,19.5875,59.88,78.32,45.83,73.18,2.31,36.84,0.13,11.72,95.65,7.53,1.3,-6.63,36.37,平配,0,0,1,-1,0,平配
汽车,801880,3.5523,25.19,21.37,32.45,33.62,2.86,26.32,-0.94,3.91,30.43,-0.87,-3.24,-4.45,-19.63,低配,0,0,0,-1,-1,平配
家用电器,801110,2.1358,15.03,71.09,31.09,55.7,1.88,5.26,-1.58,8.28,26.09,-0.55,-1.72,0.2,-6.08,低配,0,0,0,-1,-1,平配
食品饮料,801120,3.2293,20.6,17.28,38.48,84.73,3.27,31.58,0.3,11.6,26.09,-1.28,-3.78,-4.97,-21.6,平配,0,0,1,-1,0,平配
纺织服饰,801130,0.5027,24.06,57.34,46.96,74.45,2.72,26.32,-0.04,3.03,34.78,-0.06,-4.08,-2.69,-8.52,低配,0,0,0,-1,-1,平配
轻工制造,801140,0.7813,33.69,91.67,46.76,73.26,1.85,26.32,-0.65,0.85,4.35,-1.8,-2.57,-0.62,-9.81,低配,-1,0,0,-1,-2,平配
医药生物,801150,6.1812,31.43,56.01,38.65,78.32,2.51,26.32,-0.07,5.38,30.43,0.89,-3.71,-9.2,-16.55,低配,0,0,0,-1,-1,平配
