行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2193,81.08,80.41,82.69,99.45,0.58,10.53,-1.38,-3.85,13.04,-9.41,-8.95,2.98,-14.6,0,-1,0,-1,-2,平配
基础化工,801030,4.544,26.0,74.45,47.0,76.87,2.79,31.58,0.15,5.62,34.78,1.25,-3.8,-0.99,6.28,0,0,1,-1,0,平配
钢铁,801040,0.5815,30.21,76.96,20.68,41.36,0.41,15.79,-0.91,0.86,21.74,-1.01,-4.24,-0.74,-13.09,0,0,0,-1,-1,平配
有色金属,801050,5.403,17.83,30.8,37.81,59.75,5.71,42.11,1.44,12.64,78.26,4.6,-4.62,-1.92,23.6,0,0,1,-1,0,平配
电子,801080,20.1902,62.09,80.72,44.01,71.35,2.31,36.84,0.13,11.72,95.65,7.53,2.28,0.67,46.09,0,0,1,1,2,平配
汽车,801880,3.5147,25.05,20.06,34.74,38.36,2.86,26.32,-0.94,3.91,30.43,-0.87,-4.11,-2.45,-21.06,0,0,0,-1,-1,平配
家用电器,801110,2.1036,14.88,65.44,27.67,43.73,1.88,5.26,-1.58,8.28,26.09,-0.55,-2.01,-1.54,-5.67,0,0,0,-1,-1,平配
食品饮料,801120,3.1819,20.4,14.73,35.59,75.3,3.27,31.58,0.3,11.6,26.09,-1.28,-3.08,-3.8,-24.06,0,0,1,-1,0,平配
纺织服饰,801130,0.5007,24.09,57.6,39.59,58.48,2.72,26.32,-0.04,3.03,34.78,-0.06,-3.82,-0.74,-8.91,0,0,0,-1,-1,平配
轻工制造,801140,0.7814,33.63,91.3,42.75,62.19,1.85,26.32,-0.65,0.85,4.35,-1.8,-2.99,1.92,-8.9,-1,0,0,-1,-2,平配
医药生物,801150,6.2513,31.95,59.56,34.09,68.03,2.51,26.32,-0.07,5.38,30.43,0.89,-1.88,-5.33,-17.75,0,0,0,-1,-1,平配
公用事业,801160,2.503,22.01,60.27,32.76,59.83,3.46,26.32,-0.38,4.41,39.13,-0.3,0.01,2.16,2.04,0,0,0,0,0,平配
交通运输,801170,1.8772,16.65,73.43,24.16,65.27,3.4,31.58,0.15,3.98,43.48,0.24,-3.04,0.06,-7.42,0,0,1,-1,0,平配
房地产,801180,0.8296,16.01,55.8,38.13,63.69,-0.27,10.53,-0.6,-2.87,21.74,-0.33,-3.92,-1.99,-17.93,0,0,0,-1,-1,平配
商贸零售,801200,0.8099,32.89,46.39,52.75,81.45,2.09,47.37,0.54,6.64,82.61,3.38,-6.81,0.59,-25.7,0,0,1,-1,0,平配
社会服务,801210,0.4959,41.69,25.16,59.28,76.48,2.58,47.37,-0.14,2.67,73.91,-0.58,-5.57,1.95,-19.63,0,0,0,-1,-1,平配
银行,801780,5.41,6.34,79.31,12.37,73.56,4.97,26.32,-0.19,5.41,26.09,-0.21,-0.1,3.11,-3.41,0,0,0,-1,-1,平配
非银金融,801790,4.9308,9.15,0.08,18.84,42.86,4.27,57.89,1.06,7.49,65.22,2.03,-3.36,0.27,-17.13,1,0,1,-1,1,平配
综合,801230,0.2023,79.57,91.69,57.17,91.71,2.04,47.37,0.32,-2.69,13.04,-3.88,-3.99,-3.66,5.79,-1,-1,1,-1,-2,平配
建筑材料,801710,0.9168,39.0,96.79,42.65,75.61,0.8,15.79,-0.89,4.17,43.48,1.23,2.75,2.8,18.34,-1,0,0,1,0,平配
建筑装饰,801720,1.2932,14.7,94.98,27.16,38.6,1.38,26.32,-0.61,1.42,30.43,0.57,-2.83,0.33,-6.56,-1,0,0,-1,-2,平配
电力设备,801730,8.0177,28.31,33.07,35.14,46.57,2.58,31.58,0.08,5.53,39.13,0.15,-3.52,-9.61,1.47,0,0,1,-1,0,平配
机械设备,801890,6.2304,42.96,92.48,36.52,50.59,2.34,26.32,-0.32,4.54,39.13,0.72,-2.41,-0.13,10.43,-1,0,0,-1,-2,平配
国防军工,801740,2.6762,59.82,51.02,44.63,74.11,0.67,15.79,-0.48,3.7,47.83,1.16,-2.34,4.42,-8.85,0,0,0,-1,-1,平配
计算机,801750,4.6626,60.76,48.9,36.48,27.78,-0.5,5.26,-0.6,1.84,60.87,0.71,-2.16,-2.01,-23.09,0,0,0,-1,-1,平配
传媒,801760,1.6825,34.45,43.34,56.75,69.14,1.31,31.58,0.02,5.28,69.57,2.16,-4.27,1.17,-18.17,0,0,1,-1,0,平配
通信,801770,6.1558,53.06,91.07,42.73,61.01,1.95,36.84,0.08,19.16,91.3,4.72,1.24,4.45,53.99,-1,0,1,0,0,平配
煤炭,801950,0.9151,18.33,83.64,47.41,84.12,3.59,31.58,0.8,5.03,21.74,1.2,-4.03,-0.13,25.88,0,0,1,-1,0,平配
石油石化,801960,1.1489,16.43,70.32,30.42,77.72,2.79,57.89,1.09,6.53,60.87,3.12,-6.28,-1.04,14.69,0,0,1,-1,0,平配
环保,801970,0.7908,25.27,77.02,29.76,48.6,1.64,26.32,-0.42,2.27,47.83,1.69,-2.99,-0.66,-2.67,0,0,0,-1,-1,平配
美容护理,801980,0.1796,27.57,3.66,40.42,65.35,4.07,47.37,0.05,6.21,34.78,0.09,-4.33,0.19,-32.92,1,0,1,-1,1,平配
