行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2019,42.48,57.99,60.73,98.09,0.58,10.53,-1.38,-3.85,13.04,-9.41,5.82,6.86,-8.5,平配,0,-1,0,1,0,平配
基础化工,801030,4.6234,30.19,89.32,45.83,74.9,2.79,31.58,0.15,5.62,34.78,1.25,4.77,8.26,14.48,高配,0,0,1,0,1,平配
钢铁,801040,0.583,29.68,76.34,21.51,44.22,0.41,15.79,-0.91,0.86,21.74,-1.01,1.52,-1.07,-9.2,低配,0,0,0,-1,-1,平配
有色金属,801050,5.567,22.2,63.13,49.99,79.04,5.71,42.11,1.44,12.64,78.26,4.6,0.14,10.26,46.0,高配,0,0,1,0,1,平配
电子,801080,20.0759,82.19,96.91,53.25,80.72,2.31,36.84,0.13,11.72,95.65,7.53,5.45,17.32,69.21,平配,-1,0,1,0,0,平配
汽车,801880,3.5624,24.9,19.46,28.09,18.25,2.86,26.32,-0.94,3.91,30.43,-0.87,2.11,-0.29,-13.24,低配,0,0,0,-1,-1,平配
家用电器,801110,2.105,15.02,71.28,28.91,48.92,1.88,5.26,-1.58,8.28,26.09,-0.55,1.58,0.68,-1.29,高配,0,0,0,1,1,平配
食品饮料,801120,3.176,19.87,9.1,37.65,82.15,3.27,31.58,0.3,11.6,26.09,-1.28,-0.45,-4.71,-17.77,高配,1,0,1,-1,1,平配
纺织服饰,801130,0.5087,24.92,67.33,42.83,67.41,2.72,26.32,-0.04,3.03,34.78,-0.06,2.84,4.79,-4.62,平配,0,0,0,0,0,平配
轻工制造,801140,0.7765,32.75,89.24,35.14,50.6,1.85,26.32,-0.65,0.85,4.35,-1.8,4.64,5.3,-5.49,高配,0,0,0,1,1,平配
医药生物,801150,6.2338,33.31,67.41,53.84,95.62,2.51,26.32,-0.07,5.38,30.43,0.89,0.49,3.35,-13.65,低配,0,-1,0,0,-1,平配
公用事业,801160,2.3957,20.9,53.88,28.24,47.57,3.46,26.32,-0.38,4.41,39.13,-0.3,0.75,-3.34,3.11,低配,0,0,0,-1,-1,平配
交通运输,801170,1.8448,16.93,78.09,21.59,53.39,3.4,31.58,0.15,3.98,43.48,0.24,0.42,-1.35,-7.17,平配,0,0,1,-1,0,平配
房地产,801180,0.8257,19.85,65.9,39.43,66.93,-0.27,10.53,-0.6,-2.87,21.74,-0.33,2.74,2.41,-14.89,高配,0,0,0,1,1,平配
商贸零售,801200,0.8048,34.54,56.09,35.42,59.84,2.09,47.37,0.54,6.64,82.61,3.38,2.65,-0.62,-18.86,平配,0,0,1,-1,0,平配
社会服务,801210,0.4967,40.6,22.07,38.11,30.92,2.58,47.37,-0.14,2.67,73.91,-0.58,4.75,5.2,-14.3,高配,0,0,0,1,1,平配
银行,801780,5.1921,6.28,78.32,13.18,79.04,4.97,26.32,-0.19,5.41,26.09,-0.21,0.44,-0.12,-4.54,低配,0,0,0,-1,-1,平配
非银金融,801790,4.9876,11.59,5.54,18.7,42.87,4.27,57.89,1.06,7.49,65.22,2.03,3.07,-0.15,-13.85,高配,1,0,1,-1,1,平配
综合,801230,0.2033,94.76,94.3,51.66,87.89,2.04,47.37,0.32,-2.69,13.04,-3.88,2.69,9.09,31.13,平配,-1,0,1,0,0,平配
建筑材料,801710,0.8778,35.98,94.07,35.78,66.37,0.8,15.79,-0.89,4.17,43.48,1.23,4.59,10.09,18.69,低配,-1,0,0,0,-1,平配
建筑装饰,801720,1.2849,13.38,90.19,29.67,47.89,1.38,26.32,-0.61,1.42,30.43,0.57,1.89,2.15,-4.34,平配,-1,0,0,1,0,平配
电力设备,801730,8.3467,31.49,47.71,38.85,51.95,2.58,31.58,0.08,5.53,39.13,0.15,-2.47,-1.2,14.95,平配,0,0,1,-1,0,平配
机械设备,801890,6.2769,44.49,95.33,38.68,53.23,2.34,26.32,-0.32,4.54,39.13,0.72,4.33,10.65,19.25,低配,-1,0,0,0,-1,平配
国防军工,801740,2.6248,60.35,52.37,30.38,41.2,0.67,15.79,-0.48,3.7,47.83,1.16,4.32,3.5,-8.17,高配,0,0,0,1,1,平配
计算机,801750,4.8015,69.14,66.85,38.06,31.63,-0.5,5.26,-0.6,1.84,60.87,0.71,5.89,2.13,-13.72,高配,0,0,0,1,1,平配
传媒,801760,1.6828,36.0,50.63,36.06,30.44,1.31,31.58,0.02,5.28,69.57,2.16,5.75,-0.01,-11.46,平配,0,0,1,-1,0,平配
通信,801770,5.812,57.37,93.43,46.74,67.97,1.95,36.84,0.08,19.16,91.3,4.72,2.17,10.23,85.1,平配,-1,0,1,0,0,平配
煤炭,801950,0.9587,23.25,98.77,48.02,85.46,3.59,31.58,0.8,5.03,21.74,1.2,4.87,14.86,33.77,平配,-1,0,1,0,0,平配
石油石化,801960,1.1895,21.56,94.2,29.35,74.47,2.79,57.89,1.09,6.53,60.87,3.12,4.46,9.57,25.74,平配,-1,0,1,0,0,平配
环保,801970,0.8002,26.31,80.83,30.53,50.44,1.64,26.32,-0.42,2.27,47.83,1.69,2.55,4.34,1.09,平配,0,0,0,0,0,平配
美容护理,801980,0.1799,30.15,15.22,40.41,65.96,4.07,47.37,0.05,6.21,34.78,0.09,3.59,-2.93,-28.3,平配,0,0,1,-1,0,平配
