行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,2.4695,83.73,80.77,74.83,98.9,0.58,10.53,-1.38,-3.85,13.04,-9.41,0.77,7.36,-11.09,0,-1,0,0,-1,平配
基础化工,801030,9.0798,26.49,75.22,44.55,69.37,2.79,31.58,0.15,5.62,34.78,1.25,2.49,1.59,8.2,0,0,1,1,2,平配
钢铁,801040,1.1535,30.55,78.03,20.15,40.08,0.41,15.79,-0.91,0.86,21.74,-1.01,0.39,-1.1,-10.14,0,0,0,-1,-1,平配
有色金属,801050,10.4718,17.62,30.57,36.15,56.3,5.71,42.11,1.44,12.64,78.26,4.6,-0.22,-6.85,22.47,0,0,1,-1,0,平配
电子,801080,40.8963,64.13,83.27,47.91,75.67,2.31,36.84,0.13,11.72,95.65,7.53,7.81,6.05,54.0,0,0,1,1,2,平配
汽车,801880,7.0449,25.6,25.43,35.67,40.35,2.86,26.32,-0.94,3.91,30.43,-0.87,1.76,0.87,-17.38,0,0,0,1,1,平配
家用电器,801110,4.0802,14.72,58.64,26.6,39.13,1.88,5.26,-1.58,8.28,26.09,-0.55,-2.41,-2.41,-5.85,0,0,0,-1,-1,平配
食品饮料,801120,6.2987,20.59,17.36,31.85,63.86,3.27,31.58,0.3,11.6,26.09,-1.28,-0.29,-2.26,-22.71,0,0,1,-1,0,平配
纺织服饰,801130,1.0136,24.86,66.61,37.2,53.15,2.72,26.32,-0.04,3.03,34.78,-0.06,2.89,1.76,-6.49,0,0,0,1,1,平配
轻工制造,801140,1.582,34.7,96.17,41.48,60.39,1.85,26.32,-0.65,0.85,4.35,-1.8,2.97,5.07,-6.78,-1,0,0,0,-1,平配
医药生物,801150,12.901,33.62,69.43,33.91,67.56,2.51,26.32,-0.07,5.38,30.43,0.89,4.64,2.82,-13.2,0,0,0,1,1,平配
公用事业,801160,4.8679,21.84,59.58,34.31,64.57,3.46,26.32,-0.38,4.41,39.13,-0.3,-1.24,1.42,1.34,0,0,0,-1,-1,平配
交通运输,801170,3.7768,17.08,80.3,22.74,59.13,3.4,31.58,0.15,3.98,43.48,0.24,1.49,1.81,-4.82,0,0,1,1,2,平配
房地产,801180,1.6858,16.59,58.22,34.69,56.03,-0.27,10.53,-0.6,-2.87,21.74,-0.33,7.29,7.2,-10.26,0,0,0,1,1,平配
商贸零售,801200,1.6184,33.54,50.16,48.83,79.35,2.09,47.37,0.54,6.64,82.61,3.38,1.07,3.9,-23.06,0,0,1,0,1,平配
社会服务,801210,1.0086,43.23,30.81,54.04,67.4,2.58,47.37,-0.14,2.67,73.91,-0.58,1.91,5.28,-17.44,0,0,0,0,0,平配
银行,801780,10.5421,6.3,78.33,11.77,68.72,4.97,26.32,-0.19,5.41,26.09,-0.21,-2.12,1.48,-2.19,0,0,0,-1,-1,平配
非银金融,801790,9.691,9.16,0.23,16.34,26.79,4.27,57.89,1.06,7.49,65.22,2.03,0.56,-0.1,-13.76,1,0,1,-1,1,平配
综合,801230,0.4001,80.22,91.71,62.69,95.04,2.04,47.37,0.32,-2.69,13.04,-3.88,0.97,0.22,5.94,-1,-1,1,1,0,平配
建筑材料,801710,1.8042,39.13,96.79,45.83,79.51,0.8,15.79,-0.89,4.17,43.48,1.23,4.28,8.35,22.72,-1,0,0,0,-1,平配
建筑装饰,801720,2.5668,14.88,96.24,26.22,35.22,1.38,26.32,-0.61,1.42,30.43,0.57,1.67,1.75,-3.83,-1,0,0,1,0,平配
电力设备,801730,15.9073,28.63,35.6,34.55,45.31,2.58,31.58,0.08,5.53,39.13,0.15,-0.9,-8.27,-5.35,0,0,1,-1,0,平配
机械设备,801890,12.4816,43.88,94.44,33.85,45.07,2.34,26.32,-0.32,4.54,39.13,0.72,2.78,2.2,14.11,-1,0,0,1,0,平配
国防军工,801740,5.3074,60.5,52.97,41.8,69.35,0.67,15.79,-0.48,3.7,47.83,1.16,2.75,8.84,1.55,0,0,0,0,0,平配
计算机,801750,9.2644,61.56,50.63,33.65,21.75,-0.5,5.26,-0.6,1.84,60.87,0.71,2.45,2.15,-17.93,0,0,0,1,1,平配
传媒,801760,3.3333,34.8,45.07,49.46,59.5,1.31,31.58,0.02,5.28,69.57,2.16,1.25,4.96,-16.77,0,0,1,0,1,平配
通信,801770,12.4197,54.58,92.41,43.77,62.96,1.95,36.84,0.08,19.16,91.3,4.72,8.27,9.46,63.59,-1,0,1,1,1,平配
煤炭,801950,1.7704,18.08,82.71,45.49,81.87,3.59,31.58,0.8,5.03,21.74,1.2,0.26,-2.11,26.85,0,0,1,-1,0,平配
石油石化,801960,2.2251,16.22,67.16,29.71,75.31,2.79,57.89,1.09,6.53,60.87,3.12,-0.1,-1.02,17.72,0,0,1,-1,0,平配
环保,801970,1.5669,25.52,77.93,28.59,46.23,1.64,26.32,-0.42,2.27,47.83,1.69,2.07,0.79,-0.38,0,0,0,1,1,平配
美容护理,801980,0.3589,28.08,5.47,38.54,60.33,4.07,47.37,0.05,6.21,34.78,0.09,4.38,5.36,-29.8,1,0,1,1,3,平配
