行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2144,80.74,80.03,60.71,96.94,0.58,10.53,-1.38,-3.85,13.04,-9.41,-1.22,-1.05,-16.12,0,-1,0,-1,-2,平配
基础化工,801030,4.529,25.91,74.1,41.02,60.09,2.79,31.58,0.15,5.62,34.78,1.25,0.33,-3.75,4.59,0,0,1,-1,0,平配
钢铁,801040,0.5734,29.77,75.66,20.2,40.3,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.84,-4.85,-13.46,0,0,0,-1,-1,平配
有色金属,801050,5.1185,16.89,28.71,33.04,50.2,5.71,42.11,1.44,12.64,78.26,4.6,-2.78,-11.54,17.5,0,0,1,-1,0,平配
电子,801080,20.3436,62.53,80.89,53.04,80.83,2.31,36.84,0.13,11.72,95.65,7.53,1.24,-1.62,51.61,0,0,1,-1,0,平配
汽车,801880,3.5829,25.53,24.88,37.73,45.01,2.86,26.32,-0.94,3.91,30.43,-0.87,0.21,-2.85,-19.5,0,0,0,-1,-1,平配
家用电器,801110,2.1046,14.89,65.83,25.47,33.15,1.88,5.26,-1.58,8.28,26.09,-0.55,-0.15,-2.03,-5.39,0,0,0,-1,-1,平配
食品饮料,801120,3.1749,20.36,14.43,30.43,57.89,3.27,31.58,0.3,11.6,26.09,-1.28,-0.49,-3.01,-24.81,0,0,1,-1,0,平配
纺织服饰,801130,0.5099,24.53,62.4,38.46,56.4,2.72,26.32,-0.04,3.03,34.78,-0.06,1.62,-0.82,-8.35,0,0,0,-1,-1,平配
轻工制造,801140,0.7966,34.28,94.07,41.55,60.57,1.85,26.32,-0.65,0.85,4.35,-1.8,1.71,0.6,-9.75,-1,0,0,1,0,平配
医药生物,801150,6.4462,32.93,64.9,37.25,75.65,2.51,26.32,-0.07,5.38,30.43,0.89,2.36,-2.28,-14.29,0,0,0,-1,-1,平配
公用事业,801160,2.4429,21.5,56.94,32.09,58.44,3.46,26.32,-0.38,4.41,39.13,-0.3,-1.13,-1.41,-0.79,0,0,0,-1,-1,平配
交通运输,801170,1.8814,16.68,73.56,21.89,53.97,3.4,31.58,0.15,3.98,43.48,0.24,-0.69,-1.08,-8.35,0,0,1,-1,0,平配
房地产,801180,0.8791,16.96,58.66,46.67,79.18,-0.27,10.53,-0.6,-2.87,21.74,-0.33,5.74,2.1,-14.36,0,0,0,1,1,平配
商贸零售,801200,0.8116,32.97,46.41,41.08,67.95,2.09,47.37,0.54,6.64,82.61,3.38,-0.42,-2.37,-26.45,0,0,1,-1,0,平配
社会服务,801210,0.5104,42.88,29.56,49.56,58.37,2.58,47.37,-0.14,2.67,73.91,-0.58,1.97,0.73,-18.42,0,0,0,1,1,平配
银行,801780,5.389,6.31,78.39,10.95,58.99,4.97,26.32,-0.19,5.41,26.09,-0.21,-0.14,2.09,-2.79,0,0,0,-1,-1,平配
非银金融,801790,4.8953,9.08,0.08,15.12,19.01,4.27,57.89,1.06,7.49,65.22,2.03,0.06,-5.14,-14.8,1,0,1,-1,1,平配
综合,801230,0.2022,79.51,91.34,56.97,91.28,2.04,47.37,0.32,-2.69,13.04,-3.88,0.34,-2.66,6.79,-1,-1,1,-1,-2,平配
建筑材料,801710,0.9091,38.56,95.71,52.05,87.2,0.8,15.79,-0.89,4.17,43.48,1.23,-1.63,0.02,15.89,-1,0,0,-1,-2,平配
建筑装饰,801720,1.2942,14.71,94.7,25.53,32.76,1.38,26.32,-0.61,1.42,30.43,0.57,-0.28,-2.05,-5.92,-1,0,0,-1,-2,平配
电力设备,801730,7.9155,27.91,31.9,36.19,48.86,2.58,31.58,0.08,5.53,39.13,0.15,-0.88,-9.56,-6.09,0,0,1,-1,0,平配
机械设备,801890,6.2385,42.99,92.28,34.4,45.88,2.34,26.32,-0.32,4.54,39.13,0.72,-0.16,-3.56,9.86,-1,0,0,-1,-2,平配
国防军工,801740,2.6582,59.42,50.0,39.23,62.69,0.67,15.79,-0.48,3.7,47.83,1.16,-0.47,1.89,-1.66,0,0,0,-1,-1,平配
计算机,801750,4.7006,61.25,49.84,36.06,27.42,-0.5,5.26,-0.6,1.84,60.87,0.71,1.43,-3.16,-18.92,0,0,0,-1,-1,平配
传媒,801760,1.687,34.53,43.53,45.29,51.77,1.31,31.58,0.02,5.28,69.57,2.16,-0.11,1.25,-21.56,0,0,1,-1,0,平配
通信,801770,6.142,52.92,90.33,45.93,67.32,1.95,36.84,0.08,19.16,91.3,4.72,-0.51,1.65,59.73,-1,0,1,-1,-1,平配
煤炭,801950,0.9218,18.46,84.16,38.87,70.51,3.59,31.58,0.8,5.03,21.74,1.2,1.44,-4.25,27.38,0,0,1,-1,0,平配
石油石化,801960,1.1461,16.4,69.61,25.52,58.99,2.79,57.89,1.09,6.53,60.87,3.12,1.02,-3.47,16.2,0,0,1,-1,0,平配
环保,801970,0.7948,25.4,77.14,27.91,45.03,1.64,26.32,-0.42,2.27,47.83,1.69,0.99,-3.47,-2.29,0,0,0,-1,-1,平配
美容护理,801980,0.1862,28.58,7.62,38.56,60.21,4.07,47.37,0.05,6.21,34.78,0.09,3.41,-0.08,-31.07,1,0,1,-1,1,平配
