行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2121,82.12,80.41,64.97,98.03,0.58,10.53,-1.38,-3.85,13.04,-9.41,1.3,2.92,-14.56,0,-1,0,0,-1,平配
基础化工,801030,4.5324,26.42,75.1,41.74,61.56,2.79,31.58,0.15,5.62,34.78,1.25,1.59,0.51,5.66,0,0,1,1,2,平配
钢铁,801040,0.5684,30.08,76.35,19.85,39.62,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.43,-4.11,-13.14,0,0,0,-1,-1,平配
有色金属,801050,5.2068,17.51,30.37,32.69,49.53,5.71,42.11,1.44,12.64,78.26,4.6,-1.78,-6.82,20.74,0,0,1,-1,0,平配
电子,801080,20.561,64.42,83.61,50.6,78.85,2.31,36.84,0.13,11.72,95.65,7.53,3.6,5.71,58.94,0,0,1,1,2,平配
汽车,801880,3.5548,25.81,27.95,36.91,43.0,2.86,26.32,-0.94,3.91,30.43,-0.87,2.98,-1.11,-18.86,0,0,0,-1,-1,平配
家用电器,801110,2.065,14.89,65.89,25.69,34.28,1.88,5.26,-1.58,8.28,26.09,-0.55,0.01,-2.63,-5.74,0,0,0,-1,-1,平配
食品饮料,801120,3.1575,20.63,18.03,30.54,58.73,3.27,31.58,0.3,11.6,26.09,-1.28,1.11,-2.2,-23.69,0,0,1,-1,0,平配
纺织服饰,801130,0.4987,24.45,61.12,38.16,55.42,2.72,26.32,-0.04,3.03,34.78,-0.06,1.49,-0.76,-8.83,0,0,0,-1,-1,平配
轻工制造,801140,0.7883,34.56,95.63,41.01,59.59,1.85,26.32,-0.65,0.85,4.35,-1.8,2.77,1.56,-9.02,-1,0,0,1,0,平配
医药生物,801150,6.4922,33.8,70.57,35.7,72.56,2.51,26.32,-0.07,5.38,30.43,0.89,5.69,1.09,-12.39,0,0,0,1,1,平配
公用事业,801160,2.3997,21.52,57.14,34.06,63.92,3.46,26.32,-0.38,4.41,39.13,-0.3,-2.25,-1.49,-1.13,0,0,0,-1,-1,平配
交通运输,801170,1.8542,16.75,74.32,22.36,56.53,3.4,31.58,0.15,3.98,43.48,0.24,0.62,-0.94,-7.98,0,0,1,-1,0,平配
房地产,801180,0.8833,17.37,59.72,42.4,73.35,-0.27,10.53,-0.6,-2.87,21.74,-0.33,8.47,4.97,-11.89,0,0,0,1,1,平配
商贸零售,801200,0.8052,33.34,48.87,42.4,69.89,2.09,47.37,0.54,6.64,82.61,3.38,1.23,-0.73,-25.2,0,0,1,-1,0,平配
社会服务,801210,0.5061,43.33,31.15,51.11,62.5,2.58,47.37,-0.14,2.67,73.91,-0.58,3.69,2.79,-16.68,0,0,0,1,1,平配
银行,801780,5.2723,6.29,77.83,11.15,62.11,4.97,26.32,-0.19,5.41,26.09,-0.21,-0.71,0.72,-2.97,0,0,0,-1,-1,平配
非银金融,801790,4.8853,9.23,0.39,15.44,21.86,4.27,57.89,1.06,7.49,65.22,2.03,0.9,-2.95,-13.55,1,0,1,-1,1,平配
综合,801230,0.2004,80.29,91.73,60.62,93.71,2.04,47.37,0.32,-2.69,13.04,-3.88,1.15,0.75,6.67,-1,-1,1,1,0,平配
建筑材料,801710,0.915,39.66,97.11,50.2,85.06,0.8,15.79,-0.89,4.17,43.48,1.23,1.68,5.86,19.57,-1,0,0,0,-1,平配
建筑装饰,801720,1.2883,14.92,96.25,25.25,31.92,1.38,26.32,-0.61,1.42,30.43,0.57,1.46,-0.68,-4.74,-1,0,0,-1,-2,平配
电力设备,801730,7.922,28.47,34.11,35.61,47.41,2.58,31.58,0.08,5.53,39.13,0.15,0.57,-8.42,-5.35,0,0,1,-1,0,平配
机械设备,801890,6.223,43.69,93.83,33.62,44.42,2.34,26.32,-0.32,4.54,39.13,0.72,1.59,0.55,12.2,-1,0,0,1,0,平配
国防军工,801740,2.6456,60.25,52.15,39.54,63.44,0.67,15.79,-0.48,3.7,47.83,1.16,0.68,5.32,0.56,0,0,0,0,0,平配
计算机,801750,4.6937,62.32,51.76,35.27,26.18,-0.5,5.26,-0.6,1.84,60.87,0.71,2.56,0.66,-16.87,0,0,0,1,1,平配
传媒,801760,1.6749,34.94,45.75,44.74,50.24,1.31,31.58,0.02,5.28,69.57,2.16,1.41,2.87,-19.3,0,0,1,0,1,平配
通信,801770,6.1968,54.41,92.19,45.07,65.64,1.95,36.84,0.08,19.16,91.3,4.72,2.53,8.06,69.96,-1,0,1,0,0,平配
煤炭,801950,0.8989,18.34,83.62,41.37,74.41,3.59,31.58,0.8,5.03,21.74,1.2,0.08,-2.62,25.63,0,0,1,-1,0,平配
石油石化,801960,1.1264,16.43,70.19,26.71,63.14,2.79,57.89,1.09,6.53,60.87,3.12,-0.01,-1.33,16.23,0,0,1,-1,0,平配
环保,801970,0.7882,25.67,78.34,27.83,44.37,1.64,26.32,-0.42,2.27,47.83,1.69,1.49,-1.6,-1.29,0,0,0,-1,-1,平配
美容护理,801980,0.1833,28.66,8.15,38.76,60.79,4.07,47.37,0.05,6.21,34.78,0.09,3.96,-0.09,-31.12,1,0,1,-1,1,平配
