行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2543,82.89,80.61,84.44,99.76,0.58,10.53,-1.38,-3.85,13.04,-9.41,-4.7,6.58,-12.94,0,-1,0,-1,-2,平配
基础化工,801030,4.5444,25.85,74.25,50.63,84.03,2.79,31.58,0.15,5.62,34.78,1.25,-2.39,-4.61,4.14,0,0,1,-1,0,平配
钢铁,801040,0.5896,30.43,77.32,21.62,44.19,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.92,-1.59,-13.33,0,0,0,-1,-1,平配
有色金属,801050,5.39,17.66,30.53,40.96,65.22,5.71,42.11,1.44,12.64,78.26,4.6,-2.85,-6.85,25.33,0,0,1,-1,0,平配
电子,801080,19.4317,59.36,77.79,45.05,72.49,2.31,36.84,0.13,11.72,95.65,7.53,-3.27,-11.44,36.32,0,0,1,-1,0,平配
汽车,801880,3.5947,25.46,24.18,32.2,33.2,2.86,26.32,-0.94,3.91,30.43,-0.87,-2.95,-5.04,-19.84,0,0,0,-1,-1,平配
家用电器,801110,2.1456,15.08,71.82,29.75,52.57,1.88,5.26,-1.58,8.28,26.09,-0.55,-1.13,0.1,-4.06,0,0,0,-1,-1,平配
食品饮料,801120,3.2419,20.66,18.05,37.61,81.9,3.27,31.58,0.3,11.6,26.09,-1.28,-3.18,-2.91,-23.25,0,0,1,-1,0,平配
纺织服饰,801130,0.5056,24.17,58.24,43.97,69.49,2.72,26.32,-0.04,3.03,34.78,-0.06,-3.47,-3.65,-7.87,0,0,0,-1,-1,平配
轻工制造,801140,0.7871,33.77,91.84,45.04,67.98,1.85,26.32,-0.65,0.85,4.35,-1.8,-2.56,-1.54,-9.19,-1,0,0,-1,-2,平配
医药生物,801150,6.3273,32.13,61.07,36.75,73.99,2.51,26.32,-0.07,5.38,30.43,0.89,-1.55,-7.81,-15.89,0,0,0,-1,-1,平配
公用事业,801160,2.5313,22.11,60.91,31.49,57.08,3.46,26.32,-0.38,4.41,39.13,-0.3,2.07,1.06,3.84,0,0,0,1,1,平配
交通运输,801170,1.9096,16.83,75.98,24.36,65.85,3.4,31.58,0.15,3.98,43.48,0.24,-0.46,1.35,-7.52,0,0,1,-1,0,平配
房地产,801180,0.8382,16.07,56.04,43.39,75.02,-0.27,10.53,-0.6,-2.87,21.74,-0.33,-3.34,-3.83,-17.59,0,0,0,-1,-1,平配
商贸零售,801200,0.8367,33.76,51.18,55.01,83.16,2.09,47.37,0.54,6.64,82.61,3.38,-3.87,-0.02,-24.32,0,0,1,-1,0,平配
社会服务,801210,0.5079,42.42,28.18,59.59,77.0,2.58,47.37,-0.14,2.67,73.91,-0.58,-3.32,0.25,-18.98,0,0,0,-1,-1,平配
银行,801780,5.556,6.47,85.79,13.22,78.66,4.97,26.32,-0.19,5.41,26.09,-0.21,2.5,7.8,-0.55,0,0,0,0,0,平配
非银金融,801790,4.997,9.21,0.0,21.1,56.28,4.27,57.89,1.06,7.49,65.22,2.03,-3.13,-1.04,-18.5,1,0,1,-1,1,平配
综合,801230,0.2038,79.63,91.76,53.94,89.33,2.04,47.37,0.32,-2.69,13.04,-3.88,-1.46,-8.88,10.56,-1,0,1,-1,-1,平配
建筑材料,801710,0.9111,38.51,96.15,41.92,75.1,0.8,15.79,-0.89,4.17,43.48,1.23,2.34,-4.68,14.4,-1,0,0,-1,-2,平配
建筑装饰,801720,1.3073,14.77,95.45,28.3,43.08,1.38,26.32,-0.61,1.42,30.43,0.57,-1.5,-2.6,-6.71,-1,0,0,-1,-2,平配
电力设备,801730,8.2196,28.84,36.89,34.35,45.06,2.58,31.58,0.08,5.53,39.13,0.15,-2.58,-12.21,2.57,0,0,1,-1,0,平配
机械设备,801890,6.2282,42.67,91.6,38.83,53.36,2.34,26.32,-0.32,4.54,39.13,0.72,-3.39,-6.98,9.51,-1,0,0,-1,-2,平配
国防军工,801740,2.6983,59.91,51.33,45.11,74.55,0.67,15.79,-0.48,3.7,47.83,1.16,0.41,-1.19,-11.3,0,0,0,-1,-1,平配
计算机,801750,4.6992,60.84,49.06,38.61,32.73,-0.5,5.26,-0.6,1.84,60.87,0.71,-4.01,-8.1,-25.72,0,0,0,-1,-1,平配
传媒,801760,1.71,34.79,44.9,63.02,78.58,1.31,31.58,0.02,5.28,69.57,2.16,-5.61,-2.85,-18.33,0,0,1,-1,0,平配
通信,801770,5.9613,51.06,88.38,43.19,62.21,1.95,36.84,0.08,19.16,91.3,4.72,-2.27,-8.73,47.04,0,0,1,-1,0,平配
煤炭,801950,0.9252,18.37,83.96,53.82,91.04,3.59,31.58,0.8,5.03,21.74,1.2,0.49,2.16,26.91,0,-1,1,0,0,平配
石油石化,801960,1.1695,16.62,73.06,32.42,83.22,2.79,57.89,1.09,6.53,60.87,3.12,-1.45,3.16,16.54,0,0,1,-1,0,平配
环保,801970,0.7958,25.26,76.81,31.09,52.46,1.64,26.32,-0.42,2.27,47.83,1.69,-2.26,-4.15,-2.67,0,0,0,-1,-1,平配
美容护理,801980,0.1817,27.71,4.1,41.41,67.4,4.07,47.37,0.05,6.21,34.78,0.09,-4.57,-2.96,-33.27,1,0,1,-1,1,平配
