行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2819,86.04,80.97,79.57,99.52,0.58,10.53,-1.38,-3.85,13.04,-9.41,4.8,10.37,-9.82,低配,0,-1,0,0,-1,平配
基础化工,801030,4.5943,26.54,75.39,51.82,86.06,2.79,31.58,0.15,5.62,34.78,1.25,-0.48,0.39,8.24,平配,0,0,1,-1,0,平配
钢铁,801040,0.5959,31.23,79.17,21.52,44.02,0.41,15.79,-0.91,0.86,21.74,-1.01,0.62,1.95,-10.91,平配,0,0,0,0,0,平配
有色金属,801050,5.5336,18.42,33.73,42.33,67.62,5.71,42.11,1.44,12.64,78.26,4.6,-0.57,1.43,35.91,平配,0,0,1,-1,0,平配
电子,801080,19.4671,60.37,78.77,45.79,73.08,2.31,36.84,0.13,11.72,95.65,7.53,-0.65,-4.64,45.09,平配,0,0,1,-1,0,平配
汽车,801880,3.5519,25.55,24.84,31.67,31.83,2.86,26.32,-0.94,3.91,30.43,-0.87,-2.42,-3.59,-18.24,低配,0,0,0,-1,-1,平配
家用电器,801110,2.1178,15.12,73.11,32.01,59.54,1.88,5.26,-1.58,8.28,26.09,-0.55,-1.17,0.11,-4.78,低配,0,0,0,-1,-1,平配
食品饮料,801120,3.2179,20.82,21.38,38.43,84.64,3.27,31.58,0.3,11.6,26.09,-1.28,-0.69,-5.03,-21.05,平配,0,0,1,-1,0,平配
纺织服饰,801130,0.5078,24.66,63.52,47.09,74.74,2.72,26.32,-0.04,3.03,34.78,-0.06,-1.65,-0.61,-6.71,低配,0,0,0,-1,-1,平配
轻工制造,801140,0.7856,34.37,94.89,46.87,73.48,1.85,26.32,-0.65,0.85,4.35,-1.8,-0.55,0.98,-7.67,低配,-1,0,0,-1,-2,平配
医药生物,801150,6.2148,32.05,60.53,39.6,79.89,2.51,26.32,-0.07,5.38,30.43,0.89,-2.24,-8.16,-15.07,低配,0,0,0,-1,-1,平配
公用事业,801160,2.4914,22.11,60.93,28.4,48.06,3.46,26.32,-0.38,4.41,39.13,-0.3,1.15,-0.77,3.55,低配,0,0,0,-1,-1,平配
交通运输,801170,1.9136,17.13,81.05,23.33,62.0,3.4,31.58,0.15,3.98,43.48,0.24,1.14,3.51,-6.93,高配,0,0,1,0,1,平配
房地产,801180,0.8489,17.33,59.2,47.36,80.21,-0.27,10.53,-0.6,-2.87,21.74,-0.33,0.84,-1.5,-14.64,低配,0,0,0,-1,-1,平配
商贸零售,801200,0.8482,34.76,57.63,51.15,80.84,2.09,47.37,0.54,6.64,82.61,3.38,1.27,2.96,-21.5,高配,0,0,1,0,1,平配
社会服务,801210,0.5179,43.93,32.63,54.43,68.49,2.58,47.37,-0.14,2.67,73.91,-0.58,2.51,5.1,-15.67,平配,0,0,0,0,0,平配
银行,801780,5.4486,6.44,84.91,13.58,81.16,4.97,26.32,-0.19,5.41,26.09,-0.21,1.44,6.5,-1.33,平配,0,0,0,0,0,平配
非银金融,801790,5.0695,9.49,0.16,20.99,55.58,4.27,57.89,1.06,7.49,65.22,2.03,-1.5,1.09,-14.27,高配,1,0,1,-1,1,平配
综合,801230,0.2069,82.11,92.14,47.81,84.16,2.04,47.37,0.32,-2.69,13.04,-3.88,2.34,-1.62,19.38,低配,-1,0,1,-1,-1,平配
建筑材料,801710,0.8898,38.2,96.07,39.12,70.86,0.8,15.79,-0.89,4.17,43.48,1.23,0.71,-1.51,15.18,低配,-1,0,0,-1,-2,平配
建筑装饰,801720,1.318,15.12,97.17,28.68,44.18,1.38,26.32,-0.61,1.42,30.43,0.57,1.34,0.61,-4.71,平配,-1,0,0,1,0,平配
电力设备,801730,8.1711,29.12,38.84,35.14,46.48,2.58,31.58,0.08,5.53,39.13,0.15,-1.5,-9.22,8.11,平配,0,0,1,-1,0,平配
机械设备,801890,6.2215,43.31,93.24,40.15,55.27,2.34,26.32,-0.32,4.54,39.13,0.72,-1.35,-1.87,12.55,低配,-1,0,0,-1,-2,平配
国防军工,801740,2.7134,61.2,54.4,39.91,64.77,0.67,15.79,-0.48,3.7,47.83,1.16,3.56,3.08,-6.6,高配,0,0,0,1,1,平配
计算机,801750,4.6804,61.55,50.39,41.21,39.51,-0.5,5.26,-0.6,1.84,60.87,0.71,-3.43,-5.95,-24.45,低配,0,0,0,-1,-1,平配
传媒,801760,1.72,35.54,48.35,63.39,79.49,1.31,31.58,0.02,5.28,69.57,2.16,1.14,-1.53,-15.85,平配,0,0,1,-1,0,平配
通信,801770,5.961,51.86,89.86,41.4,58.75,1.95,36.84,0.08,19.16,91.3,4.72,4.26,-0.08,58.71,平配,0,0,1,-1,0,平配
煤炭,801950,0.9345,18.84,86.03,54.28,91.29,3.59,31.58,0.8,5.03,21.74,1.2,0.25,6.08,28.53,平配,0,-1,1,0,0,平配
石油石化,801960,1.1961,17.26,78.08,30.91,79.67,2.79,57.89,1.09,6.53,60.87,3.12,0.46,8.42,21.49,高配,0,0,1,0,1,平配
环保,801970,0.798,25.73,78.6,31.58,53.7,1.64,26.32,-0.42,2.27,47.83,1.69,-1.01,-0.89,-1.59,低配,0,0,0,-1,-1,平配
美容护理,801980,0.1825,28.26,5.94,42.95,71.21,4.07,47.37,0.05,6.21,34.78,0.09,-1.1,-2.69,-31.06,高配,1,0,1,-1,1,平配
