行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2326,81.72,80.42,83.21,99.53,0.58,10.53,-1.38,-3.85,13.04,-9.41,-5.25,2.26,-12.1,0,-1,0,-1,-2,平配
基础化工,801030,4.525,25.82,74.08,46.66,76.18,2.79,31.58,0.15,5.62,34.78,1.25,-2.72,-2.09,7.11,0,0,1,-1,0,平配
钢铁,801040,0.5798,30.03,76.51,20.72,41.56,0.41,15.79,-0.91,0.86,21.74,-1.01,-3.86,-1.9,-12.08,0,0,0,-1,-1,平配
有色金属,801050,5.2807,17.37,30.23,37.89,59.94,5.71,42.11,1.44,12.64,78.26,4.6,-5.87,-5.55,21.44,0,0,1,-1,0,平配
电子,801080,20.1364,61.74,79.8,45.95,73.34,2.31,36.84,0.13,11.72,95.65,7.53,2.19,-0.11,46.91,0,0,1,-1,0,平配
汽车,801880,3.5825,25.46,24.28,35.29,39.51,2.86,26.32,-0.94,3.91,30.43,-0.87,-0.45,-1.71,-18.59,0,0,0,-1,-1,平配
家用电器,801110,2.1135,14.91,67.11,26.35,37.54,1.88,5.26,-1.58,8.28,26.09,-0.55,-1.42,-1.85,-4.25,0,0,0,-1,-1,平配
食品饮料,801120,3.2005,20.46,15.27,34.95,72.87,3.27,31.58,0.3,11.6,26.09,-1.28,-1.72,-3.24,-22.84,0,0,1,-1,0,平配
纺织服饰,801130,0.5032,24.14,58.03,38.69,56.62,2.72,26.32,-0.04,3.03,34.78,-0.06,-2.09,-1.58,-7.63,0,0,0,-1,-1,平配
轻工制造,801140,0.7854,33.7,91.7,42.54,61.99,1.85,26.32,-0.65,0.85,4.35,-1.8,-1.62,0.98,-7.43,-1,0,0,-1,-2,平配
医药生物,801150,6.3086,32.15,61.16,33.24,66.17,2.51,26.32,-0.07,5.38,30.43,0.89,0.28,-8.18,-17.21,0,0,0,-1,-1,平配
公用事业,801160,2.4796,21.74,58.5,33.91,63.49,3.46,26.32,-0.38,4.41,39.13,-0.3,-1.67,1.06,2.07,0,0,0,-1,-1,平配
交通运输,801170,1.8995,16.8,75.25,23.68,63.33,3.4,31.58,0.15,3.98,43.48,0.24,-1.92,0.59,-5.71,0,0,1,-1,0,平配
房地产,801180,0.8339,16.04,56.07,36.51,59.94,-0.27,10.53,-0.6,-2.87,21.74,-0.33,-3.03,-2.82,-16.67,0,0,0,-1,-1,平配
商贸零售,801200,0.8164,33.08,47.61,50.97,80.44,2.09,47.37,0.54,6.64,82.61,3.38,-4.87,-0.68,-23.4,0,0,1,-1,0,平配
社会服务,801210,0.5005,41.95,26.7,57.86,74.68,2.58,47.37,-0.14,2.67,73.91,-0.58,-4.51,0.91,-18.08,0,0,0,-1,-1,平配
银行,801780,5.412,6.32,78.78,11.85,69.56,4.97,26.32,-0.19,5.41,26.09,-0.21,-1.86,2.41,-2.51,0,0,0,-1,-1,平配
非银金融,801790,4.9055,9.07,0.0,17.79,36.59,4.27,57.89,1.06,7.49,65.22,2.03,-4.43,-0.64,-15.25,1,0,1,-1,1,平配
综合,801230,0.2021,79.24,91.54,59.27,93.22,2.04,47.37,0.32,-2.69,13.04,-3.88,-3.29,-3.49,3.89,-1,-1,1,-1,-2,平配
建筑材料,801710,0.9238,39.18,97.02,44.29,77.52,0.8,15.79,-0.89,4.17,43.48,1.23,2.58,3.13,20.75,-1,0,0,1,0,平配
建筑装饰,801720,1.301,14.74,95.3,26.91,37.78,1.38,26.32,-0.61,1.42,30.43,0.57,-2.38,-0.68,-4.98,-1,0,0,-1,-2,平配
电力设备,801730,8.0011,28.17,32.73,35.25,46.69,2.58,31.58,0.08,5.53,39.13,0.15,-3.32,-9.52,-0.47,0,0,1,-1,0,平配
机械设备,801890,6.2498,42.96,92.4,35.52,48.03,2.34,26.32,-0.32,4.54,39.13,0.72,-0.92,-1.16,12.02,-1,0,0,-1,-2,平配
国防军工,801740,2.6779,59.68,50.67,43.87,72.87,0.67,15.79,-0.48,3.7,47.83,1.16,-2.55,5.04,-3.46,0,0,0,-1,-1,平配
计算机,801750,4.6471,60.38,48.16,35.9,26.89,-0.5,5.26,-0.6,1.84,60.87,0.71,-1.9,-3.09,-21.45,0,0,0,-1,-1,平配
传媒,801760,1.6933,34.57,43.77,54.24,65.54,1.31,31.58,0.02,5.28,69.57,2.16,-2.73,0.59,-17.76,0,0,1,-1,0,平配
通信,801770,6.1888,53.18,91.31,43.82,63.25,1.95,36.84,0.08,19.16,91.3,4.72,2.52,2.89,51.9,-1,0,1,1,1,平配
煤炭,801950,0.9112,18.19,82.96,45.97,82.47,3.59,31.58,0.8,5.03,21.74,1.2,-3.54,-0.65,27.02,0,0,1,-1,0,平配
石油石化,801960,1.1388,16.24,67.57,30.16,76.77,2.79,57.89,1.09,6.53,60.87,3.12,-5.93,-2.13,14.58,0,0,1,-1,0,平配
环保,801970,0.7888,25.13,76.0,29.62,48.12,1.64,26.32,-0.42,2.27,47.83,1.69,-2.39,-2.04,-1.59,0,0,0,-1,-1,平配
美容护理,801980,0.1806,27.63,3.83,39.63,62.58,4.07,47.37,0.05,6.21,34.78,0.09,-2.22,-2.46,-31.21,1,0,1,-1,1,平配
